"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
2;"IC1";"SOP50P490X110-10N";1;"MCP73833-AMI_UN";;;
3;"J1";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"Conn_01x02_Male";;;
4;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
5;"J5,J6,J4";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
6;"R3";"R_0603_1608Metric";1;"10k";;;
7;"R2";"R_0603_1608Metric";1;"10K";;;
8;"R1";"R_0603_1608Metric";1;"1K";;;
9;"J3";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
10;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
11;"IC3";"QFN50P300X300X80-17N";1;"MAX98357AGTE_V+T";;;
12;"IC2";"AZ1117CR33TRG1";1;"AZ1117CR-3.3TRG1";;;
13;"C6";"C_1206_3216Metric";1;"1uF";;;
14;"C5";"C_1206_3216Metric";1;"0.1uF";;;
15;"C4";"C_1206_3216Metric";1;"100nF";;;
16;"C3,C2";"C_1206_3216Metric";2;"10uF";;;
17;"C1";"C_1206_3216Metric";1;"22uF";;;
